Empresa,Numero_Patentes
ALNYLAM PHARMACEUTICALS,32
ARROWHEAD PHARMACEUTICALS,24
PEKING UNIVERSITY,20
SUZHOU RIBO LIFE SCIENCE,10
SHANGHAI ARGO BIOPHARMACEUTICAL,8
FRONTIER BIOTECHNOLOGIES,8
TUOJIE BIOTECH SHANGHAI,7
WAVE LIFE SCIENCES,6
GENZYME,5
OLIX PHARMACEUTICALS,5
DYNE THERAPEUTICS,4
CHIA TAI TIANQING PHARMACEUTICAL GROUP,4
UNIVERSITY OF MASSACHUSETTS,4
RONA THERAPEUTICS,4
LEADERNA THERAPEUTICS,4
BIONEER,3
ELI LILLY,3
INSITRO,3
HANGZHOU TIANLONG PHARMACEUTICAL,3
SHANDONG ANSHUN PHARMACEUTICAL,3
QILU PHARMACEUTICAL,3
SUZHOU GENEPHARMA,3
BISIRNA THERAPEUTICS,3
NATIONWIDE CHILDRENS HOSPITAL,2
JANSSEN PHARMACEUTICALS,2
CHILDRENS HOSPITAL MEDICAL CENTER,2
SECOND XIANGYA HOSPITAL OF CENTRAL SOUTH UNIVERSITY,2
NOVARTIS,2
UNIVERSITY OF BRITISH COLUMBIA,2
XUZHOU MEDICAL UNIVERSITY,2
SILENCE THERAPEUTICS,2
SHENZHEN HUAYUAN BIOTECHNOLOGY,2
IBRIDGE US,2
CHENGDU XINZELI BIOSCIENCES,2
EXORNA BIOSCIENCE,2
VOYAGER THERAPEUTICS,2
ARGONAUTE RNA,2
SUZHOU SIRAN BIOTECHNOLOGY,2
WEIYAZHEN BIOTECHNOLOGY SUZHOU,2
DARUI BIOMEDICAL TECH SHANGHAI,2
CSPC ZHONGQI PHARMACEUTICAL TECHNOLOGY SHIJIAZHUANG,2
BASECURE THERAPEUTICS,2
TOAGOSEI,2
SUNSHINE LAKE PHARMA,2
BEBETTER MED,2
ENKANG PHARMACEUTICAL TECH GUANGZHOU,1
YINGTE MED TECH,1
ENZHI GUANGZHOU PHARMACEUTICAL TECH,1
GLAXOSMITHKLINE INTELLECTUAL PROPERTY NO3,1
ACTYM THERAPEUTICS,1
KYLONOVA XIAMEN BIOPHARMA,1
TME THERAPEUTICS,1
CURIGIN,1
NA VACCINE INST,1
MEDSHINE DISCOVERY,1
NANTONG UNIVERSITY,1
NORTHWESTERN POLYTECHNICAL UNIVERSITY,1
NANJING UNIVERSITY,1
HEFEI INST PHYSICAL SCI CAS,1
SHENZHEN FUSHENGMING BIOLOGICAL MEDICINE,1
XIAMEN UNIVERSITY,1
SUNGKYUNKWAN UNIVERSITY,1
SHANDONG FIRST MEDICAL UNIVERSITY SHANDONG ACADEMY OF MEDICAL SCIENCES,1
ARO BIOTHERAPEUTICS,1
NANHU INST OF BRAIN EXTRACTION,1
HEBEI UNIVERSITY OF TECHNOLOGY,1
DICERNA PHARMACEUTICALS,1
SYNRX,1
SIRNA THERAPEUTICS,1
SHANGHAI TCM INTEGRATED HOSPITAL,1
EAST CHINA NORMAL UNIVERSITY,1
HANGZHOU SHUYUAN LIFE SCIENCE,1
MPEG LA,1
HANGZHOU INTERNATIONAL SCIENCE TECHNOLOGY INNOVATION CENTER OF ZHEJIANG UNIVERSITY,1
DELFT UNIVERSITY OF TECHNOLOGY,1
SHENZHEN PEOPLES HOSPITAL,1
INST BIOPHYSICS CAS,1
NANJING AGRICULTURAL UNIVERSITY,1
SOUTH CHINA AGRICULTURAL UNIVERSITY,1
TAKEDA PHARMACEUTICALS,1
PROXYBIO THERAPEUTICS SHENZHEN,1
FLAGSHIP PIONEERING INNOVATIONS VII,1
UNIVERSITY OF LIEGE,1
HANGZHOU FIRST PEOPLES HOSPITAL HANGZHOU FIRST PEOPLES HOSPITAL AFFILIATED TO WEST LAKE UNIVERSITY,1
CMS RESEARCH & DEVELOPMENT,1
SISAF,1
GUOKE WENZHOU RES INSTITUTE WENZHOU INSTITUTE OF BIOMATERIALS ENGINEERING,1
HUMANWELL HEALTHCARE GROUP,1
AVIDITY BIOSCIENCES,1
UNIVERSITY OF ANTWERP,1
DANA FARBER CANCER INSTITUTE,1
KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY,1
OVID THERAPEUTICS,1
REGENERON PHARMACEUTICALS,1
TOKAI NATIONAL HIGHER EDUCATION AND RESEARCH SYSTEM,1
VERSITI BLOOD RESEARCH INSTITUTE FOUNDATION,1
NANJING DRUM TOWER HOSPITAL,1
SHENZHEN SALUBRIS PHARM,1
UNIVERSITY OF VIRGINIA,1
SINO AMERICAN RUIKANG NUCLEIC ACID TECH NANTONG RESEARCH INSTITUTE,1
